loss_clickbait,loss_kategori,epoch,step,loss,grad_norm,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4969631433486938,2.4274988174438477,0.0,0,,,,,,,,,,,,
1.147672176361084,2.2626874446868896,0.01,1,,,,,,,,,,,,
1.122541069984436,2.066427230834961,0.02,2,,,,,,,,,,,,
1.3557963371276855,2.1439852714538574,0.03,3,,,,,,,,,,,,
1.1623599529266357,1.8323795795440674,0.04,4,,,,,,,,,,,,
1.0523484945297241,1.7648670673370361,0.05,5,,,,,,,,,,,,
0.8018710613250732,1.79922354221344,0.07,6,,,,,,,,,,,,
1.150497317314148,1.64963960647583,0.08,7,,,,,,,,,,,,
1.042013168334961,1.5922794342041016,0.09,8,,,,,,,,,,,,
0.8986151218414307,1.7968511581420898,0.1,9,,,,,,,,,,,,
0.8178319931030273,1.3726084232330322,0.11,10,,,,,,,,,,,,
0.9386882781982422,1.9346952438354492,0.12,11,,,,,,,,,,,,
1.1279267072677612,1.4045767784118652,0.13,12,,,,,,,,,,,,
0.9972184300422668,1.4619300365447998,0.14,13,,,,,,,,,,,,
1.0286993980407715,1.430368185043335,0.15,14,,,,,,,,,,,,
1.0384986400604248,1.5390162467956543,0.16,15,,,,,,,,,,,,
1.049978494644165,1.2321383953094482,0.18,16,,,,,,,,,,,,
0.8835349678993225,1.1807622909545898,0.19,17,,,,,,,,,,,,
0.9991220831871033,1.3473209142684937,0.2,18,,,,,,,,,,,,
1.157234787940979,1.2549957036972046,0.21,19,,,,,,,,,,,,
0.8212273120880127,0.9332255125045776,0.22,20,,,,,,,,,,,,
,,0.23,21,2.6913,11.306070327758789,1.953846153846154e-05,,,,,,,,,
0.8564795255661011,1.0176997184753418,0.23,21,,,,,,,,,,,,
,,0.23,21,,,,1.9432611465454102,3.1449,196.509,6.36,,,,,
1.098381757736206,1.3745908737182617,0.24,22,,,,,,,,,,,,
1.1809099912643433,0.9380096197128296,0.25,23,,,,,,,,,,,,
0.8644294738769531,1.0826373100280762,0.26,24,,,,,,,,,,,,
0.9907397031784058,0.8593912720680237,0.27,25,,,,,,,,,,,,
1.0426409244537354,1.1935003995895386,0.29,26,,,,,,,,,,,,
0.9886022210121155,0.9032273888587952,0.3,27,,,,,,,,,,,,
0.8029729127883911,0.7303219437599182,0.31,28,,,,,,,,,,,,
0.7399842143058777,0.986194372177124,0.32,29,,,,,,,,,,,,
1.1341036558151245,0.6096943020820618,0.33,30,,,,,,,,,,,,
0.9578796029090881,0.8406384587287903,0.34,31,,,,,,,,,,,,
0.9761714935302734,0.8909415006637573,0.35,32,,,,,,,,,,,,
0.7409086227416992,0.9799929857254028,0.36,33,,,,,,,,,,,,
0.9550971388816833,0.5646039247512817,0.37,34,,,,,,,,,,,,
0.7527927160263062,0.6873853802680969,0.38,35,,,,,,,,,,,,
0.9024515151977539,0.7869282960891724,0.4,36,,,,,,,,,,,,
0.8779352903366089,0.7240439653396606,0.41,37,,,,,,,,,,,,
0.8271254301071167,0.8516693115234375,0.42,38,,,,,,,,,,,,
0.7638955116271973,0.85935378074646,0.43,39,,,,,,,,,,,,
0.6575127243995667,0.9434151649475098,0.44,40,,,,,,,,,,,,
1.1116447448730469,0.694970965385437,0.45,41,,,,,,,,,,,,
,,0.46,42,1.808,15.869342803955078,1.907692307692308e-05,,,,,,,,,
0.8395223617553711,0.6688748002052307,0.46,42,,,,,,,,,,,,
,,0.46,42,,,,1.514094352722168,3.2068,192.713,6.237,,,,,
0.6750702857971191,0.8747730255126953,0.47,43,,,,,,,,,,,,
0.9784474968910217,0.5659551620483398,0.48,44,,,,,,,,,,,,
0.8721548318862915,0.5471335649490356,0.49,45,,,,,,,,,,,,
0.8623992204666138,0.9450328946113586,0.51,46,,,,,,,,,,,,
0.7304341793060303,0.564635694026947,0.52,47,,,,,,,,,,,,
0.9009340405464172,0.5245397686958313,0.53,48,,,,,,,,,,,,
0.9985076785087585,0.47127580642700195,0.54,49,,,,,,,,,,,,
0.8526042699813843,0.5684771537780762,0.55,50,,,,,,,,,,,,
0.9482446312904358,0.6391944885253906,0.56,51,,,,,,,,,,,,
0.7823269963264465,0.7766665816307068,0.57,52,,,,,,,,,,,,
0.561448872089386,0.3664938509464264,0.58,53,,,,,,,,,,,,
0.740062952041626,0.6590715050697327,0.59,54,,,,,,,,,,,,
0.6657533049583435,0.3813796639442444,0.6,55,,,,,,,,,,,,
0.8823895454406738,0.8082979917526245,0.62,56,,,,,,,,,,,,
1.1206549406051636,0.6436842083930969,0.63,57,,,,,,,,,,,,
0.7722516059875488,0.576583743095398,0.64,58,,,,,,,,,,,,
0.8417497873306274,0.8370314836502075,0.65,59,,,,,,,,,,,,
0.6690706014633179,0.7515342235565186,0.66,60,,,,,,,,,,,,
0.9172331094741821,0.3894469738006592,0.67,61,,,,,,,,,,,,
0.7917246222496033,0.6607249975204468,0.68,62,,,,,,,,,,,,
,,0.69,63,1.4651,12.445382118225098,1.8615384615384616e-05,,,,,,,,,
0.7409878969192505,0.48509183526039124,0.69,63,,,,,,,,,,,,
,,0.69,63,,,,1.3478835821151733,3.4789,177.64,5.749,,,,,
0.804233729839325,0.4723612666130066,0.7,64,,,,,,,,,,,,
0.7068415284156799,0.41981950402259827,0.71,65,,,,,,,,,,,,
0.789395809173584,0.5565937757492065,0.73,66,,,,,,,,,,,,
0.8561543226242065,0.4840144217014313,0.74,67,,,,,,,,,,,,
